Site,Day,Date,StartTime,EndTime,Det Flow*
N01321D1,TH,17-10-2019,00:30,00:45,36
N01321D1,TH,17-10-2019,00:45,01:00,28
N01321D1,TH,17-10-2019,01:00,01:15,28
N01321D1,TH,17-10-2019,01:15,01:30,32
N01321D1,TH,17-10-2019,01:30,01:45,20
N01321D1,TH,17-10-2019,01:45,02:00,28
N01321D1,TH,17-10-2019,02:00,02:15,28
N01321D1,TH,17-10-2019,02:15,02:30,12
N01321D1,TH,17-10-2019,02:30,02:45,8
N01321D1,TH,17-10-2019,02:45,03:00,24
N01321D1,TH,17-10-2019,03:00,03:15,4
N01321D1,TH,17-10-2019,03:15,03:30,16
N01321D1,TH,17-10-2019,03:30,03:45,16
N01321D1,TH,17-10-2019,03:45,04:00,4
N01321D1,TH,17-10-2019,04:00,04:15,4
N01321D1,TH,17-10-2019,04:15,04:30,12
N01321D1,TH,17-10-2019,04:30,04:45,12
N01321D1,TH,17-10-2019,04:45,05:00,12
N01321D1,TH,17-10-2019,05:00,05:15,12
N01321D1,TH,17-10-2019,05:15,05:30,32
N01321D1,TH,17-10-2019,05:30,05:45,16
N01321D1,TH,17-10-2019,05:45,06:00,32
N01321D1,TH,17-10-2019,06:00,06:15,36
N01321D1,TH,17-10-2019,06:15,06:30,44
N01321D1,TH,17-10-2019,06:30,06:45,56
N01321D1,TH,17-10-2019,06:45,07:00,60
N01321D1,TH,17-10-2019,07:00,07:15,80
N01321D1,TH,17-10-2019,07:15,07:30,56
N01321D1,TH,17-10-2019,07:30,07:45,80
N01321D1,TH,17-10-2019,07:45,08:00,116
N01321D1,TH,17-10-2019,08:00,08:15,88
N01321D1,TH,17-10-2019,08:15,08:30,76
N01321D1,TH,17-10-2019,08:30,08:45,72
N01321D1,TH,17-10-2019,08:45,09:00,84
N01321D1,TH,17-10-2019,09:00,09:15,160
N01321D1,TH,17-10-2019,09:15,09:30,80
N01321D1,TH,17-10-2019,09:30,09:45,120
N01321D1,TH,17-10-2019,09:45,10:00,156
N01321D1,TH,17-10-2019,10:00,10:15,124
N01321D1,TH,17-10-2019,10:15,10:30,64
N01321D1,TH,17-10-2019,10:30,10:45,92
N01321D1,TH,17-10-2019,10:45,11:00,72
N01321D1,TH,17-10-2019,11:00,11:15,92
N01321D1,TH,17-10-2019,11:15,11:30,132
N01321D1,TH,17-10-2019,11:30,11:45,88
N01321D1,TH,17-10-2019,11:45,12:00,104
N01321D1,TH,17-10-2019,12:00,12:15,96
N01321D1,TH,17-10-2019,12:15,12:30,68
N01321D1,TH,17-10-2019,12:30,12:45,124
N01321D1,TH,17-10-2019,12:45,13:00,100
N01321D1,TH,17-10-2019,13:00,13:15,80
N01321D1,TH,17-10-2019,13:15,13:30,76
N01321D1,TH,17-10-2019,13:30,13:45,104
N01321D1,TH,17-10-2019,13:45,14:00,96
N01321D1,TH,17-10-2019,14:00,14:15,96
N01321D1,TH,17-10-2019,14:15,14:30,104
N01321D1,TH,17-10-2019,14:30,14:45,72
N01321D1,TH,17-10-2019,14:45,15:00,108
N01321D1,TH,17-10-2019,15:00,15:15,124
N01321D1,TH,17-10-2019,15:15,15:30,112
N01321D1,TH,17-10-2019,15:30,15:45,92
N01321D1,TH,17-10-2019,15:45,16:00,148
N01321D1,TH,17-10-2019,16:00,16:15,100
N01321D1,TH,17-10-2019,16:15,16:30,104
N01321D1,TH,17-10-2019,16:30,16:45,88
N01321D1,TH,17-10-2019,16:45,17:00,64
N01321D1,TH,17-10-2019,17:00,17:15,76
N01321D1,TH,17-10-2019,17:15,17:30,88
N01321D1,TH,17-10-2019,17:30,17:45,52
N01321D1,TH,17-10-2019,17:45,18:00,92
N01321D1,TH,17-10-2019,18:00,18:15,84
N01321D1,TH,17-10-2019,18:15,18:30,84
N01321D1,TH,17-10-2019,18:30,18:45,56
N01321D1,TH,17-10-2019,18:45,19:00,84
N01321D1,TH,17-10-2019,19:00,19:15,96
N01321D1,TH,17-10-2019,19:15,19:30,72
N01321D1,TH,17-10-2019,19:30,19:45,56
N01321D1,TH,17-10-2019,19:45,20:00,64
N01321D1,TH,17-10-2019,20:00,20:15,36
N01321D1,TH,17-10-2019,20:15,20:30,36
N01321D1,TH,17-10-2019,20:30,20:45,44
N01321D1,TH,17-10-2019,20:45,21:00,56
N01321D1,TH,17-10-2019,21:00,21:15,64
N01321D1,TH,17-10-2019,21:15,21:30,44
N01321D1,TH,17-10-2019,21:30,21:45,48
N01321D1,TH,17-10-2019,21:45,22:00,52
N01321D1,TH,17-10-2019,22:00,22:15,32
N01321D1,TH,17-10-2019,22:15,22:30,32
N01321D1,TH,17-10-2019,22:30,22:45,56
N01321D1,TH,17-10-2019,22:45,23:00,72
N01321D1,TH,17-10-2019,23:00,23:15,72
N01321D1,TH,17-10-2019,23:15,23:30,44
N01321D1,TH,17-10-2019,23:30,23:45,56
N01321D1,TH,17-10-2019,23:45,24:00,44
N01321D1,FR,18-10-2019,00:00,00:15,24
N01321D1,FR,18-10-2019,00:15,00:30,44
N01321D1,FR,18-10-2019,00:30,00:45,24
N01321D1,FR,18-10-2019,00:45,01:00,32
N01321D1,FR,18-10-2019,01:00,01:15,24
N01321D1,FR,18-10-2019,01:15,01:30,36
N01321D1,FR,18-10-2019,01:30,01:45,24
N01321D1,FR,18-10-2019,01:45,02:00,32
N01321D1,FR,18-10-2019,02:00,02:15,44
N01321D1,FR,18-10-2019,02:15,02:30,36
N01321D1,FR,18-10-2019,02:30,02:45,32
N01321D1,FR,18-10-2019,02:45,03:00,20
N01321D1,FR,18-10-2019,03:00,03:15,16
N01321D1,FR,18-10-2019,03:15,03:30,16
N01321D1,FR,18-10-2019,03:30,03:45,12
N01321D1,FR,18-10-2019,03:45,04:00,16
N01321D1,FR,18-10-2019,04:00,04:15,12
N01321D1,FR,18-10-2019,04:15,04:30,12
N01321D1,FR,18-10-2019,04:30,04:45,12
N01321D1,FR,18-10-2019,04:45,05:00,4
N01321D1,FR,18-10-2019,05:00,05:15,16
N01321D1,FR,18-10-2019,05:15,05:30,36
N01321D1,FR,18-10-2019,05:30,05:45,20
N01321D1,FR,18-10-2019,05:45,06:00,24
N01321D1,FR,18-10-2019,06:00,06:15,28
N01321D1,FR,18-10-2019,06:15,06:30,72
N01321D1,FR,18-10-2019,06:30,06:45,88
N01321D1,FR,18-10-2019,06:45,07:00,84
N01321D1,FR,18-10-2019,07:00,07:15,72
N01321D1,FR,18-10-2019,07:15,07:30,80
N01321D1,FR,18-10-2019,07:30,07:45,116
N01321D1,FR,18-10-2019,07:45,08:00,120
N01321D1,FR,18-10-2019,08:00,08:15,80
N01321D1,FR,18-10-2019,08:15,08:30,72
N01321D1,FR,18-10-2019,08:30,08:45,100
N01321D1,FR,18-10-2019,08:45,09:00,124
N01321D1,FR,18-10-2019,09:00,09:15,112
N01321D1,FR,18-10-2019,09:15,09:30,88
N01321D1,FR,18-10-2019,09:30,09:45,76
N01321D1,FR,18-10-2019,09:45,10:00,108
N01321D1,FR,18-10-2019,10:00,10:15,88
N01321D1,FR,18-10-2019,10:15,10:30,96
N01321D1,FR,18-10-2019,10:30,10:45,112
N01321D1,FR,18-10-2019,10:45,11:00,96
N01321D1,FR,18-10-2019,11:00,11:15,92
N01321D1,FR,18-10-2019,11:15,11:30,92
N01321D1,FR,18-10-2019,11:30,11:45,72
N01321D1,FR,18-10-2019,11:45,12:00,108
N01321D1,FR,18-10-2019,12:00,12:15,112
N01321D1,FR,18-10-2019,12:15,12:30,80
N01321D1,FR,18-10-2019,12:30,12:45,84
N01321D1,FR,18-10-2019,12:45,13:00,60
N01321D1,FR,18-10-2019,13:00,13:15,100
N01321D1,FR,18-10-2019,13:15,13:30,96
N01321D1,FR,18-10-2019,13:30,13:45,64
N01321D1,FR,18-10-2019,13:45,14:00,96
N01321D1,FR,18-10-2019,14:00,14:15,100
N01321D1,FR,18-10-2019,14:15,14:30,88
N01321D1,FR,18-10-2019,14:30,14:45,120
N01321D1,FR,18-10-2019,14:45,15:00,120
N01321D1,FR,18-10-2019,15:00,15:15,76
N01321D1,FR,18-10-2019,15:15,15:30,44
N01321D1,FR,18-10-2019,15:30,15:45,92
N01321D1,FR,18-10-2019,15:45,16:00,100
N01321D1,FR,18-10-2019,16:00,16:15,68
N01321D1,FR,18-10-2019,16:15,16:30,112
N01321D1,FR,18-10-2019,16:30,16:45,116
N01321D1,FR,18-10-2019,16:45,17:00,96
N01321D1,FR,18-10-2019,17:00,17:15,84
N01321D1,FR,18-10-2019,17:15,17:30,92
N01321D1,FR,18-10-2019,17:30,17:45,76
N01321D1,FR,18-10-2019,17:45,18:00,72
N01321D1,FR,18-10-2019,18:00,18:15,112
N01321D1,FR,18-10-2019,18:15,18:30,68
N01321D1,FR,18-10-2019,18:30,18:45,144
N01321D1,FR,18-10-2019,18:45,19:00,100
N01321D1,FR,18-10-2019,19:00,19:15,88
N01321D1,FR,18-10-2019,19:15,19:30,96
N01321D1,FR,18-10-2019,19:30,19:45,84
N01321D1,FR,18-10-2019,19:45,20:00,112
N01321D1,FR,18-10-2019,20:00,20:15,108
N01321D1,FR,18-10-2019,20:15,20:30,88
N01321D1,FR,18-10-2019,20:30,20:45,56
N01321D1,FR,18-10-2019,20:45,21:00,100
N01321D1,FR,18-10-2019,21:00,21:15,68
N01321D1,FR,18-10-2019,21:15,21:30,52
N01321D1,FR,18-10-2019,21:30,21:45,52
N01321D1,FR,18-10-2019,21:45,22:00,100
N01321D1,FR,18-10-2019,22:00,22:15,64
N01321D1,FR,18-10-2019,22:15,22:30,60
N01321D1,FR,18-10-2019,22:30,22:45,76
N01321D1,FR,18-10-2019,22:45,23:00,32
N01321D1,FR,18-10-2019,23:00,23:15,72
N01321D1,FR,18-10-2019,23:15,23:30,32
N01321D1,FR,18-10-2019,23:30,23:45,52
N01321D1,FR,18-10-2019,23:45,24:00,56
N01321D1,SA,19-10-2019,00:00,00:15,40
N01321D1,SA,19-10-2019,00:15,00:30,40
N01321D1,SA,19-10-2019,00:30,00:45,36
N01321D1,SA,19-10-2019,00:45,01:00,48
N01321D1,SA,19-10-2019,01:00,01:15,36
N01321D1,SA,19-10-2019,01:15,01:30,24
N01321D1,SA,19-10-2019,01:30,01:45,32
N01321D1,SA,19-10-2019,01:45,02:00,28
N01321D1,SA,19-10-2019,02:00,02:15,32
N01321D1,SA,19-10-2019,02:15,02:30,40
N01321D1,SA,19-10-2019,02:30,02:45,20
N01321D1,SA,19-10-2019,02:45,03:00,20
N01321D1,SA,19-10-2019,03:00,03:15,44
N01321D1,SA,19-10-2019,03:15,03:30,32
N01321D1,SA,19-10-2019,03:30,03:45,32
N01321D1,SA,19-10-2019,03:45,04:00,24
N01321D1,SA,19-10-2019,04:00,04:15,16
N01321D1,SA,19-10-2019,04:15,04:30,4
N01321D1,SA,19-10-2019,04:30,04:45,4
N01321D1,SA,19-10-2019,04:45,05:00,8
N01321D1,SA,19-10-2019,05:00,05:15,12
N01321D1,SA,19-10-2019,05:15,05:30,28
N01321D1,SA,19-10-2019,05:30,05:45,24
N01321D1,SA,19-10-2019,05:45,06:00,24
N01321D1,SA,19-10-2019,06:00,06:15,32
N01321D1,SA,19-10-2019,06:15,06:30,32
N01321D1,SA,19-10-2019,06:30,06:45,40
N01321D1,SA,19-10-2019,06:45,07:00,32
N01321D1,SA,19-10-2019,07:00,07:15,36
N01321D1,SA,19-10-2019,07:15,07:30,32
N01321D1,SA,19-10-2019,07:30,07:45,36
N01321D1,SA,19-10-2019,07:45,08:00,36
N01321D1,SA,19-10-2019,08:00,08:15,28
N01321D1,SA,19-10-2019,08:15,08:30,40
N01321D1,SA,19-10-2019,08:30,08:45,40
N01321D1,SA,19-10-2019,08:45,09:00,52
N01321D1,SA,19-10-2019,09:00,09:15,36
N01321D1,SA,19-10-2019,09:15,09:30,48
N01321D1,SA,19-10-2019,09:30,09:45,44
N01321D1,SA,19-10-2019,09:45,10:00,96
N01321D1,SA,19-10-2019,10:00,10:15,60
N01321D1,SA,19-10-2019,10:15,10:30,80
N01321D1,SA,19-10-2019,10:30,10:45,104
N01321D1,SA,19-10-2019,10:45,11:00,68
N01321D1,SA,19-10-2019,11:00,11:15,104
N01321D1,SA,19-10-2019,11:15,11:30,64
N01321D1,SA,19-10-2019,11:30,11:45,96
N01321D1,SA,19-10-2019,11:45,12:00,92
N01321D1,SA,19-10-2019,12:00,12:15,84
N01321D1,SA,19-10-2019,12:15,12:30,68
N01321D1,SA,19-10-2019,12:30,12:45,72
N01321D1,SA,19-10-2019,12:45,13:00,64
N01321D1,SA,19-10-2019,13:00,13:15,108
N01321D1,SA,19-10-2019,13:15,13:30,96
N01321D1,SA,19-10-2019,13:30,13:45,56
N01321D1,SA,19-10-2019,13:45,14:00,96
N01321D1,SA,19-10-2019,14:00,14:15,92
N01321D1,SA,19-10-2019,14:15,14:30,76
N01321D1,SA,19-10-2019,14:30,14:45,76
N01321D1,SA,19-10-2019,14:45,15:00,100
N01321D1,SA,19-10-2019,15:00,15:15,80
N01321D1,SA,19-10-2019,15:15,15:30,136
N01321D1,SA,19-10-2019,15:30,15:45,84
N01321D1,SA,19-10-2019,15:45,16:00,96
N01321D1,SA,19-10-2019,16:00,16:15,84
N01321D1,SA,19-10-2019,16:15,16:30,80
N01321D1,SA,19-10-2019,16:30,16:45,60
N01321D1,SA,19-10-2019,16:45,17:00,76
N01321D1,SA,19-10-2019,17:00,17:15,92
N01321D1,SA,19-10-2019,17:15,17:30,52
N01321D1,SA,19-10-2019,17:30,17:45,84
N01321D1,SA,19-10-2019,17:45,18:00,76
N01321D1,SA,19-10-2019,18:00,18:15,108
N01321D1,SA,19-10-2019,18:15,18:30,72
N01321D1,SA,19-10-2019,18:30,18:45,108
N01321D1,SA,19-10-2019,18:45,19:00,32
N01321D1,SA,19-10-2019,19:00,19:15,48
N01321D1,SA,19-10-2019,19:15,19:30,84
N01321D1,SA,19-10-2019,19:30,19:45,68
N01321D1,SA,19-10-2019,19:45,20:00,72
N01321D1,SA,19-10-2019,20:00,20:15,108
N01321D1,SA,19-10-2019,20:15,20:30,72
N01321D1,SA,19-10-2019,20:30,20:45,68
N01321D1,SA,19-10-2019,20:45,21:00,56
N01321D1,SA,19-10-2019,21:00,21:15,40
N01321D1,SA,19-10-2019,21:15,21:30,76
N01321D1,SA,19-10-2019,21:30,21:45,80
N01321D1,SA,19-10-2019,21:45,22:00,56
N01321D1,SA,19-10-2019,22:00,22:15,100
N01321D1,SA,19-10-2019,22:15,22:30,52
N01321D1,SA,19-10-2019,22:30,22:45,56
N01321D1,SA,19-10-2019,22:45,23:00,60
N01321D1,SA,19-10-2019,23:00,23:15,36
N01321D1,SA,19-10-2019,23:15,23:30,20
N01321D1,SA,19-10-2019,23:30,23:45,60
N01321D1,SA,19-10-2019,23:45,24:00,32
N01321D1,SU,20-10-2019,00:00,00:15,36
N01321D1,SU,20-10-2019,00:15,00:30,40
N01321D1,SU,20-10-2019,00:30,00:45,12
N01321D1,SU,20-10-2019,00:45,01:00,36
N01321D1,SU,20-10-2019,01:00,01:15,28
N01321D1,SU,20-10-2019,01:15,01:30,44
N01321D1,SU,20-10-2019,01:30,01:45,28
N01321D1,SU,20-10-2019,01:45,02:00,60
N01321D1,SU,20-10-2019,02:00,02:15,32
N01321D1,SU,20-10-2019,02:15,02:30,44
N01321D1,SU,20-10-2019,02:30,02:45,32
N01321D1,SU,20-10-2019,02:45,03:00,32
N01321D1,SU,20-10-2019,03:00,03:15,28
N01321D1,SU,20-10-2019,03:15,03:30,24
N01321D1,SU,20-10-2019,03:30,03:45,16
N01321D1,SU,20-10-2019,03:45,04:00,20
N01321D1,SU,20-10-2019,04:00,04:15,36
N01321D1,SU,20-10-2019,04:15,04:30,36
N01321D1,SU,20-10-2019,04:30,04:45,12
N01321D1,SU,20-10-2019,04:45,05:00,40
N01321D1,SU,20-10-2019,05:00,05:15,0
N01321D1,SU,20-10-2019,05:15,05:30,4
N01321D1,SU,20-10-2019,05:30,05:45,28
N01321D1,SU,20-10-2019,05:45,06:00,12
N01321D1,SU,20-10-2019,06:00,06:15,12
N01321D1,SU,20-10-2019,06:15,06:30,4
N01321D1,SU,20-10-2019,06:30,06:45,12
N01321D1,SU,20-10-2019,06:45,07:00,4
N01321D1,SU,20-10-2019,07:00,07:15,8
N01321D1,SU,20-10-2019,07:15,07:30,8
N01321D1,SU,20-10-2019,07:30,07:45,16
N01321D1,SU,20-10-2019,07:45,08:00,20
N01321D1,SU,20-10-2019,08:00,08:15,20
N01321D1,SU,20-10-2019,08:15,08:30,16
N01321D1,SU,20-10-2019,08:30,08:45,40
N01321D1,SU,20-10-2019,08:45,09:00,24
N01321D1,SU,20-10-2019,09:00,09:15,8
N01321D1,SU,20-10-2019,09:15,09:30,36
N01321D1,SU,20-10-2019,09:30,09:45,60
N01321D1,SU,20-10-2019,09:45,10:00,16
N01321D1,SU,20-10-2019,10:00,10:15,52
N01321D1,SU,20-10-2019,10:15,10:30,32
N01321D1,SU,20-10-2019,10:30,10:45,52
N01321D1,SU,20-10-2019,10:45,11:00,56
N01321D1,SU,20-10-2019,11:00,11:15,60
N01321D1,SU,20-10-2019,11:15,11:30,64
N01321D1,SU,20-10-2019,11:30,11:45,64
N01321D1,SU,20-10-2019,11:45,12:00,68
N01321D1,SU,20-10-2019,12:00,12:15,76
N01321D1,SU,20-10-2019,12:15,12:30,52
N01321D1,SU,20-10-2019,12:30,12:45,44
N01321D1,SU,20-10-2019,12:45,13:00,64
N01321D1,SU,20-10-2019,13:00,13:15,64
N01321D1,SU,20-10-2019,13:15,13:30,72
N01321D1,SU,20-10-2019,13:30,13:45,40
N01321D1,SU,20-10-2019,13:45,14:00,48
