57.148087,-2.093386,19/01/2020,00:00,00:15,300
57.148087,-2.093386,19/01/2020,00:15,00:30,316
57.148087,-2.093386,19/01/2020,00:30,00:45,308
57.148087,-2.093386,19/01/2020,00:45,01:00,272
57.148087,-2.093386,19/01/2020,01:00,01:15,316
57.148087,-2.093386,19/01/2020,01:15,01:30,268
57.148087,-2.093386,19/01/2020,01:30,01:45,276
57.148087,-2.093386,19/01/2020,01:45,02:00,276
57.148087,-2.093386,19/01/2020,02:00,02:15,248
57.148087,-2.093386,19/01/2020,02:15,02:30,252
57.148087,-2.093386,19/01/2020,02:30,02:45,264
57.148087,-2.093386,19/01/2020,02:45,03:00,300
57.148087,-2.093386,19/01/2020,03:00,03:15,292
57.148087,-2.093386,19/01/2020,03:15,03:30,292
57.148087,-2.093386,19/01/2020,03:30,03:45,272
57.148087,-2.093386,19/01/2020,03:45,04:00,196
57.148087,-2.093386,19/01/2020,04:00,04:15,220
57.148087,-2.093386,19/01/2020,04:15,04:30,116
57.148087,-2.093386,19/01/2020,04:30,04:45,68
57.148087,-2.093386,19/01/2020,04:45,05:00,56
57.148087,-2.093386,19/01/2020,05:00,05:15,84
57.148087,-2.093386,19/01/2020,05:15,05:30,52
57.148087,-2.093386,19/01/2020,05:30,05:45,92
57.148087,-2.093386,19/01/2020,05:45,06:00,96
57.148087,-2.093386,19/01/2020,06:00,06:15,148
57.148087,-2.093386,19/01/2020,06:15,06:30,84
57.148087,-2.093386,19/01/2020,06:30,06:45,88
57.148087,-2.093386,19/01/2020,06:45,07:00,116
57.148087,-2.093386,19/01/2020,07:00,07:15,48
57.148087,-2.093386,19/01/2020,07:15,07:30,92
57.148087,-2.093386,19/01/2020,07:30,07:45,96
57.148087,-2.093386,19/01/2020,07:45,08:00,140
57.148087,-2.093386,19/01/2020,08:00,08:15,288
57.148087,-2.093386,19/01/2020,08:15,08:30,132
57.148087,-2.093386,19/01/2020,08:30,08:45,192
57.148087,-2.093386,19/01/2020,08:45,09:00,124
57.148087,-2.093386,19/01/2020,09:00,09:15,260
57.148087,-2.093386,19/01/2020,09:15,09:30,88
57.148087,-2.093386,19/01/2020,09:30,09:45,164
57.148087,-2.093386,19/01/2020,09:45,10:00,264
57.148087,-2.093386,19/01/2020,10:00,10:15,140
57.148087,-2.093386,19/01/2020,10:15,10:30,276
57.148087,-2.093386,19/01/2020,10:30,10:45,440
57.148087,-2.093386,19/01/2020,10:45,11:00,348
57.148087,-2.093386,19/01/2020,11:00,11:15,292
57.148087,-2.093386,19/01/2020,11:15,11:30,308
57.148087,-2.093386,19/01/2020,11:30,11:45,400
57.148087,-2.093386,19/01/2020,11:45,12:00,464
57.148087,-2.093386,19/01/2020,12:00,12:15,436
57.148087,-2.093386,19/01/2020,12:15,12:30,384
57.148087,-2.093386,19/01/2020,12:30,12:45,332
57.148087,-2.093386,19/01/2020,12:45,13:00,380
57.148087,-2.093386,19/01/2020,13:00,13:15,432
57.148087,-2.093386,19/01/2020,13:15,13:30,472
57.148087,-2.093386,19/01/2020,13:30,13:45,360
57.148087,-2.093386,19/01/2020,13:45,14:00,420
57.148087,-2.093386,19/01/2020,14:00,14:15,376
57.148087,-2.093386,19/01/2020,14:15,14:30,368
57.148087,-2.093386,19/01/2020,14:30,14:45,504
57.148087,-2.093386,19/01/2020,14:45,15:00,412
57.148087,-2.093386,19/01/2020,15:00,15:15,444
57.148087,-2.093386,19/01/2020,15:15,15:30,452
57.148087,-2.093386,19/01/2020,15:30,15:45,472
57.148087,-2.093386,19/01/2020,15:45,16:00,272
57.148087,-2.093386,19/01/2020,16:00,16:15,360
57.148087,-2.093386,19/01/2020,16:15,16:30,420
57.148087,-2.093386,19/01/2020,16:30,16:45,484
57.148087,-2.093386,19/01/2020,16:45,17:00,292
57.148087,-2.093386,19/01/2020,17:00,17:15,260
57.148087,-2.093386,19/01/2020,17:15,17:30,304
57.148087,-2.093386,19/01/2020,17:30,17:45,292
57.148087,-2.093386,19/01/2020,17:45,18:00,316
57.148087,-2.093386,19/01/2020,18:00,18:15,224
57.148087,-2.093386,19/01/2020,18:15,18:30,304
57.148087,-2.093386,19/01/2020,18:30,18:45,296
57.148087,-2.093386,19/01/2020,18:45,19:00,272
57.148087,-2.093386,19/01/2020,19:00,19:15,316
57.148087,-2.093386,19/01/2020,19:15,19:30,216
57.148087,-2.093386,19/01/2020,19:30,19:45,192
57.148087,-2.093386,19/01/2020,19:45,20:00,208
57.148087,-2.093386,19/01/2020,20:00,20:15,260
57.148087,-2.093386,19/01/2020,20:15,20:30,196
57.148087,-2.093386,19/01/2020,20:30,20:45,208
